userid, password,residence_state, high_school_name, high_school_city, high_school_state,GPA, college_class,major_1,major_2, SAT_math, SAT_EBRW, ACT_English, ACT_math, ACT_reading, ACT_science, ACT_composite, SAT_literature, SAT_US_hist, SAT_world_hist, SAT_math_I, SAT_math_II, SAT_eco_bio, SAT_mol_bio, SAT_chemistry, SAT_physics,num_AP_passed,
student26,pass26,NJ,Commack High School,Commack,NY,3,2024,,,,,,,,,,,,,,,,,,,,
student27,pass27,NM,Concord Carlisle High School,Concord,MA,3,2024,,,,,,,,,,,,,,,,,,,,
student28,pass28,NY,Coppell High School,Coppell,TX,3,2024,,,,,,,,,,,,,,,,,,,,
student29,pass29,NC,Crystal Lake Central High School,Crystal Lake,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student30,pass30,ND,Dougherty Valley High School,San Ramon,CA,3,2024,,,,,,,,,,,,,,,,,,,,
student31,pass31,OH,Eagan Senior High School,Eagan,MN,3,2024,,,,,,,,,,,,,,,,,,,,
student32,pass32,OK,East Chapel Hill High School,Chapel Hill,NC,3,2024,,,,,,,,,,,,,,,,,,,,
student33,pass33,OR,Elsik High School,Houston,TX,3,2024,,,,,,,,,,,,,,,,,,,,
student34,pass34,MD,Fairfield High School,Fairfield,TX,3,2024,,,,,,,,,,,,,,,,,,,,
student35,pass35,MA,Fairview High School,Boulder,CO,3,2024,,,,,,,,,,,,,,,,,,,,
student36,pass36,MI,Flowery Branch High School,Flowery Branch,GA,3,2024,,,,,,,,,,,,,,,,,,,,
student37,pass37,MN,Fox Chapel Area High School,Pittsburgh,PA,3,2024,,,,,,,,,,,,,,,,,,,,
student38,pass38,MS,Glenbrook South High School,Glenview,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student39,pass39,MO,Goffstown High School,Goffstown,NH,3,2024,,,,,,,,,,,,,,,,,,,,
student40,pass40,PA,Granada Hills Charter High School,Granada Hills,CA,3,2024,,,,,,,,,,,,,,,,,,,,
student41,pass41,RI,Haas Hall Academy,Fayetteville,AR,3,2024,,,,,,,,,,,,,,,,,,,,
student42,pass42,SC,Hanover High School,Hanover,NH,3,2024,,,,,,,,,,,,,,,,,,,,
student43,pass43,SD,Health Careers High School,San Antonio,TX,3,2024,,,,,,,,,,,,,,,,,,,,
student44,pass44,TN,Highland Park High School,Highland Park,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student45,pass45,TX,Hinsdale Central High School,Hinsdale,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student46,pass46,UT,Hopkinton High School,Hopkinton,MA,3,2024,,,,,,,,,,,,,,,,,,,,
student47,pass47,VT,Huron High School,Ann Arbor,MI,3,2024,,,,,,,,,,,,,,,,,,,,
student48,pass48,VA,Illinois Mathematics and Science Academy,Aurora,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student49,pass49,WA,International Academy,Bloomfield Hills,MI,3,2024,,,,,,,,,,,,,,,,,,,,
student50,pass50,WV,Island Trees High School,Levittown,NY,3,2024,,,,,,,,,,,,,,,,,,,,
student51,pass51,WI,James Madison High School,Vienna,VA,3,2024,,,,,,,,,,,,,,,,,,,,
student52,pass52,WY,J.P. Stevens High School,Edison,NJ,3,2024,,,,,,,,,,,,,,,,,,,,
student53,pass53,AL,Lake City High School,Lake City,MI,3,2024,,,,,,,,,,,,,,,,,,,,
student54,pass54,AK,Lawrence Free State High School,Lawrence,KS,3,2024,,,,,,,,,,,,,,,,,,,,
student55,pass55,AZ,Lexington High School,Lexington,MA,3,2024,,,,,,,,,,,,,,,,,,,,
student56,pass56,AR,Libertyville High School,Libertyville,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student57,pass57,CA,Lovejoy High School,Lucas,TX,3,2024,,,,,,,,,,,,,,,,,,,,
student58,pass58,CO,Madeira High School,Cincinnati,OH,3,2024,,,,,,,,,,,,,,,,,,,,
student59,pass59,CT,Mamaroneck High School,Mamaroneck,NY,3,2024,,,,,,,,,,,,,,,,,,,,
student60,pass60,DE,McLean High School,McLean,VA,3,2024,,,,,,,,,,,,,,,,,,,,
student61,pass61,DC,Memorial High School,Houston,TX,3,2024,,,,,,,,,,,,,,,,,,,,
student62,pass62,FL,Mira Costa High School,Manhattan Beach,CA,3,2024,,,,,,,,,,,,,,,,,,,,
student63,pass63,GA,Mountain Lakes High School,Mountain Lakes,NJ,3,2024,,,,,,,,,,,,,,,,,,,,
student64,pass64,HI,Mt. Brook High School,Mountain Brook,AL,3,2024,,,,,,,,,,,,,,,,,,,,
student65,pass65,ID,Naperville Central High School,Naperville,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student66,pass66,IL,Neuqua Valley High School,Naperville,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student67,pass67,IN,New Trier Township High School,Winnetka,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student68,pass68,IA,Niles North High School,Skokie,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student69,pass69,KS,North Carolina School of Science and Mathematics,Durham,NC,3,2024,,,,,,,,,,,,,,,,,,,,
student70,pass70,KY,Northside College Preparatory High School,Chicago,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student71,pass71,LA,Oakton High School,Vienna,VA,3,2024,,,,,,,,,,,,,,,,,,,,
student72,pass72,ME,Otsego High School,Otsego,MI,3,2024,,,,,,,,,,,,,,,,,,,,
student73,pass73,MT,Panther Creek High School,Cary,NC,3,2024,,,,,,,,,,,,,,,,,,,,
student74,pass74,NE,Parish Hill High School,Chaplin,CT,3,2024,,,,,,,,,,,,,,,,,,,,
student75,pass75,NV,Parkway Central High School,Chesterfield,MO,3,2024,,,,,,,,,,,,,,,,,,,,
student76,pass76,NH,Pelham Memorial High School,Pelham,NY,3,2024,,,,,,,,,,,,,,,,,,,,
student77,pass77,NJ,Piedmont High School,Piedmont,CA,3,2024,,,,,,,,,,,,,,,,,,,,
student78,pass78,NM,Providence High School,Charlotte,NC,3,2024,,,,,,,,,,,,,,,,,,,,
student79,pass79,NY,Radnor Senior High School,Radnor,PA,3,2024,,,,,,,,,,,,,,,,,,,,
student80,pass80,NC,Reedy High School,Frisco,TX,3,2024,,,,,,,,,,,,,,,,,,,,
student81,pass81,ND,Richard Montgomery High School,Rockville,MD,3,2024,,,,,,,,,,,,,,,,,,,,
student82,pass82,OH,Richland High School,North Richland Hills,TX,3,2024,,,,,,,,,,,,,,,,,,,,
student83,pass83,OK,Ridgewood High School,Ridgewood,NJ,3,2024,,,,,,,,,,,,,,,,,,,,
student84,pass84,OR,Riverside STEM Academy,Riverside,CA,3,2024,,,,,,,,,,,,,,,,,,,,
student85,pass85,MD,Santa Monica High School,Santa Monica,CA,3,2024,,,,,,,,,,,,,,,,,,,,
student86,pass86,MA,South Pointe High School,Rock Hill,SC,3,2024,,,,,,,,,,,,,,,,,,,,
student87,pass87,MI,South Side High School,Rockville Centre,NY,3,2024,,,,,,,,,,,,,,,,,,,,
student88,pass88,MN,Staten Island Technical High School,Staten Island,NY,3,2024,,,,,,,,,,,,,,,,,,,,
student89,pass89,MS,Sterling High School,Somerdale,NJ,3,2024,,,,,,,,,,,,,,,,,,,,
student90,pass90,MO,Stone Bridge High School,Ashburn,VA,3,2024,,,,,,,,,,,,,,,,,,,,
student91,pass91,PA,Sutton High School,Sutton,MA,3,2024,,,,,,,,,,,,,,,,,,,,
student92,pass92,RI,The Gatton Academy,Bowling Green,KY,3,2024,,,,,,,,,,,,,,,,,,,,
student93,pass93,SC,The Mississippi School for Mathematics and Science,Columbus,MS,3,2024,,,,,,,,,,,,,,,,,,,,
student94,pass94,SD,University High School,Normal,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student95,pass95,TN,Volcano Vista High School,Albuquerque,NM,3,2024,,,,,,,,,,,,,,,,,,,,
student96,pass96,TX,Walton High School,Marietta,GA,3,2024,,,,,,,,,,,,,,,,,,,,
student97,pass97,UT,Waubonsie Valley High School,Aurora,IL,3,2024,,,,,,,,,,,,,,,,,,,,
student98,pass98,VT,Westlake Academy,Westlake,TX,3,2024,,,,,,,,,,,,,,,,,,,,
student99,pass99,VA,Westlake High School,Westlake Village,CA,3,2024,,,,,,,,,,,,,,,,,,,,
student100,pass100,WA,Westwood High School,Austin,TX,3,2024,,,,,,,,,,,,,,,,,,,,
student101,pass101,AL,Whitefish Bay High School,Whitefish Bay,WI,,2024,,,,,,,,,,,,,,,,,,,,
student102,pass102,AK,Whitney High School,Cerritos,CA,,2024,,,,,,,,,,,,,,,,,,,,
