userid, password,residence_state, high_school_name, high_school_city, high_school_state,GPA, college_class,major_1,major_2, SAT_math, SAT_EBRW, ACT_English, ACT_math, ACT_reading, ACT_science, ACT_composite, SAT_literature, SAT_US_hist, SAT_world_hist, SAT_math_I, SAT_math_II, SAT_eco_bio, SAT_mol_bio, SAT_chemistry, SAT_physics,num_AP_passed
test16,pass16,WA,Academy for Information Technology,Scotch Plains,NJ,3.95,2021,Architecture and Related Services,Electrical and Electronics Engineering,200,790,33,6,22,3,16,390,280,480,760,620,720,210,310,590,0
test17,pass17,CT,Academy for Information Technology,Scotch Plains,NJ,1.91,2028,Fine Arts and Art Studies,Clinical Laboratory Science/Medical Technology/Technologist,220,450,18,22,33,30,26,700,730,290,260,290,350,670,570,620,8
test18,pass18,WV,Academy for Information Technology,Scotch Plains,NJ,2.78,2028,Engineering,Registered Nursing/Registered Nurse,200,550,21,16,32,10,20,600,670,510,280,680,480,450,330,430,1
test19,pass19,SD,Academy for Information Technology,Scotch Plains,NJ,1.41,2021,Creative Writing,Atmospheric Sciences and Meteorology,680,740,16,27,36,5,21,790,620,730,550,310,250,200,230,730,1
test20,pass20,ME,Academy for Information Technology,Scotch Plains,NJ,1.29,2026,Fine/Studio Arts,Art/Art Studies,360,200,9,31,14,7,15,350,690,270,490,450,230,660,650,360,4
test21,pass21,KY,Alpharetta High School,Alpharetta,GA,0.53,2028,Political Science and Government,Design and Visual Communications,240,540,30,10,13,12,16,430,220,390,270,270,260,370,540,680,1
test22,pass22,PA,Alpharetta High School,Alpharetta,GA,0.67,2023,Sculpture,Physical Sciences,560,780,2,19,15,28,16,220,460,430,490,630,750,780,770,430,5
test23,pass23,KY,Alpharetta High School,Alpharetta,GA,0.99,2024,Sculpture,Social Work,450,260,20,34,24,7,21,270,610,610,390,460,780,230,250,490,7
test24,pass24,PA,Alpharetta High School,Alpharetta,GA,2.3,2028,Digital Communication and Media/Multimedia,Creative Writing,460,430,1,22,9,19,13,240,480,690,570,600,530,740,770,680,7
test25,pass25,OH,Alpharetta High School,Alpharetta,GA,1.47,2025,Design and Visual Communications,American/United States Studies/Civilization,340,750,8,16,16,17,14,700,440,630,640,320,250,800,460,270,10
test26,pass26,RI,Alpharetta High School,Alpharetta,GA,3.24,2024,Computer Graphics,Fine Arts and Art Studies,570,660,7,1,22,19,12,260,760,410,760,210,750,640,480,690,1
test27,pass27,VT,Alpharetta High School,Alpharetta,GA,0.92,2020,Visual and Performing Arts,Economics,300,570,3,34,7,24,17,290,670,580,680,240,320,500,320,390,0
test28,pass28,HI,Alpharetta High School,Alpharetta,GA,2.39,2026,Visual and Performing Arts,Architecture and Related Services,550,760,1,13,24,19,14,770,660,730,470,570,220,440,250,430,7
test29,pass29,IL,Alpharetta High School,Alpharetta,GA,0.55,2023,Registered Nursing/Registered Nurse,Music,520,200,32,23,27,2,21,440,300,750,480,480,740,600,290,420,1
test30,pass30,OK,Alpharetta High School,Alpharetta,GA,1.98,2027,Computer Graphics,Art Teacher Education,630,520,2,26,13,30,18,790,500,340,350,730,360,500,330,250,1
test31,pass31,OK,Arcadia High School,Arcadia,OH,2.78,2024,Religion/Religious Studies,Photography,430,220,15,29,34,36,28,730,500,450,530,400,660,220,480,440,0
test32,pass32,CA,Arcadia High School,Arcadia,OH,1.55,2028,Digital Communication and Media/Multimedia,Business Administration and Management,420,360,1,35,23,23,20,690,760,580,670,470,760,340,700,660,2
test33,pass33,MI,Arcadia High School,Arcadia,OH,3.43,2028,Anthropology,Fine/Studio Arts,210,580,21,16,18,27,20,650,770,270,360,450,740,300,730,330,7
test34,pass34,MD,Arcadia High School,Arcadia,OH,3.66,2020,Business Administration and Management,Visual and Performing Arts,540,430,24,35,19,5,21,410,700,280,670,280,620,710,710,610,10
test35,pass35,MN,Arcadia High School,Arcadia,OH,3.28,2026,Polysomnography,Fine Arts and Art Studies,240,560,21,32,2,35,22,690,330,620,240,660,450,230,350,690,6
test36,pass36,NM,Arcadia High School,Arcadia,OH,3.41,2020,Interior Architecture,Respiratory Care Therapy/Therapist,630,520,20,11,2,2,9,780,550,400,430,310,630,350,500,340,4
test37,pass37,ND,Arcadia High School,Arcadia,OH,1.98,2021,Political Science and Government,Civil Engineering,630,450,20,21,2,18,15,400,510,220,420,510,380,390,310,360,1
test38,pass38,OH,Arcadia High School,Arcadia,OH,0.59,2024,Graphic Design,Architecture and Related Services,510,330,3,18,17,35,18,450,460,650,700,410,440,230,420,220,5
test39,pass39,DE,Arcadia High School,Arcadia,OH,3.32,2025,Astronomy,French Language and Literature,300,530,26,8,33,7,18,250,550,500,550,790,450,760,590,320,2
test40,pass40,AR,Arcadia High School,Arcadia,OH,3.07,2024,Sculpture,Women&apos;s Studies,220,500,25,28,8,32,23,500,500,500,710,210,520,760,270,590,0
test41,pass41,PA,Aragon High School,San Mateo,CA,3.47,2022,Business Administration and Management,Art/Art Studies,750,710,6,21,23,21,18,440,290,770,510,730,470,620,700,560,2
test42,pass42,MO,Aragon High School,San Mateo,CA,2.27,2023,Physical Sciences,Multi-/Interdisciplinary Studies,690,440,17,7,23,8,14,200,560,260,540,520,400,680,450,630,2
test43,pass43,IN,Aragon High School,San Mateo,CA,2.68,2027,Interior Architecture,German Language and Literature,730,400,26,11,33,3,18,510,640,640,720,580,410,360,370,350,6
test44,pass44,HI,Aragon High School,San Mateo,CA,2.23,2022,English Language and Literature,Asian Studies/Civilization,480,360,14,15,36,28,23,440,410,340,640,590,270,630,620,570,6
test45,pass45,SC,Aragon High School,San Mateo,CA,0.33,2025,Photography,Sustainability Studies,440,380,28,11,16,13,17,660,500,510,370,800,320,540,670,740,9
test46,pass46,HI,Aragon High School,San Mateo,CA,2.38,2024,Spanish Language and Literature,Linguistics,610,690,3,23,13,16,14,740,780,260,640,690,480,780,230,510,0
test47,pass47,MT,Aragon High School,San Mateo,CA,1.67,2023,Film/Video and Photographic Arts,Environmental Studies,480,390,2,34,17,29,20,580,300,580,530,450,610,550,420,280,7
test48,pass48,IN,Aragon High School,San Mateo,CA,2.58,2022,Electrical and Electronics Engineering,Biology/Biological Sciences,650,310,8,19,5,17,12,240,610,270,450,770,310,800,460,660,6
test49,pass49,MO,Aragon High School,San Mateo,CA,0.52,2028,Biology/Biological Sciences,Sociology,510,610,19,19,25,34,24,710,270,550,720,320,660,700,530,690,9
test50,pass50,NE,Aragon High School,San Mateo,CA,1.64,2028,Clinical Laboratory Science/Medical Technology/Technologist,Printmaking,330,690,30,21,5,35,23,710,300,610,270,700,690,420,340,720,6
test51,pass51,CO,Arizona College Prep Erie Campus,Chandler,AZ,1.57,2023,Information Science/Studies,Creative Writing,270,350,15,3,16,10,11,480,530,760,550,320,340,430,560,280,8
test52,pass52,MS,Arizona College Prep Erie Campus,Chandler,AZ,1.73,2020,Athletic Training/Trainer,Mathematics,480,620,26,27,35,12,25,510,270,420,720,580,410,620,250,480,3
test53,pass53,KS,Arizona College Prep Erie Campus,Chandler,AZ,2.71,2022,Photography,Italian Language and Literature,780,530,31,20,33,36,30,360,760,230,590,670,330,640,680,300,3
test54,pass54,VT,Arizona College Prep Erie Campus,Chandler,AZ,0.68,2023,Drawing,Physical Sciences,520,320,34,18,5,2,15,310,250,640,690,210,460,300,790,280,8
test55,pass55,WI,Arizona College Prep Erie Campus,Chandler,AZ,2.4,2021,Cinematography and Film/Video Production,Physics,660,520,11,7,4,7,7,330,270,500,560,690,300,600,300,360,8
test56,pass56,SD,Arizona College Prep Erie Campus,Chandler,AZ,1.07,2022,Social Work,Asian Studies/Civilization,340,580,11,24,19,2,14,700,680,440,390,270,680,490,500,290,2
test57,pass57,RI,Arizona College Prep Erie Campus,Chandler,AZ,2.84,2022,Music,Art Teacher Education,210,460,5,18,34,31,22,580,350,360,560,590,440,350,310,620,4
test58,pass58,ID,Arizona College Prep Erie Campus,Chandler,AZ,1.05,2023,Printmaking,Biology/Biological Sciences,780,210,30,8,35,28,25,260,610,330,530,340,800,560,200,760,2
test59,pass59,KS,Arizona College Prep Erie Campus,Chandler,AZ,1.8,2020,Clinical Laboratory Science/Medical Technology/Technologist,Environmental Studies,300,460,8,14,29,3,14,790,540,490,320,200,460,200,220,440,5
test60,pass60,NV,Arizona College Prep Erie Campus,Chandler,AZ,2.47,2021,Journalism,Computer and Information Sciences,310,590,3,11,30,8,13,280,580,340,770,220,500,390,640,550,7
test61,pass61,NJ,Ashley Ridge High School,Summerville,SC,1.67,2022,Art/Art Studies,Intermedia/Multimedia,650,540,20,4,25,15,16,390,550,600,340,320,570,220,770,790,4
test62,pass62,KY,Ashley Ridge High School,Summerville,SC,0.71,2023,Spanish Language and Literature,Human Computer Interaction,600,460,21,24,33,22,25,440,430,690,510,320,450,640,580,450,8
test63,pass63,FL,Ashley Ridge High School,Summerville,SC,3.23,2024,Clinical Laboratory Science/Medical Technology/Technologist,Biology/Biological Sciences,590,240,2,8,30,26,16,570,310,350,280,690,290,320,400,750,0
test64,pass64,MO,Ashley Ridge High School,Summerville,SC,0.81,2025,Engineering,Applied Mathematics,230,790,36,20,6,29,23,770,670,640,230,300,650,620,240,240,5
test65,pass65,CT,Ashley Ridge High School,Summerville,SC,0.88,2027,German Language and Literature,Respiratory Care Therapy/Therapist,540,650,32,1,27,25,21,300,680,540,750,200,770,600,570,670,2
test66,pass66,NJ,Ashley Ridge High School,Summerville,SC,1.46,2026,Film/Cinema/Video Studies,Electrical and Electronics Engineering,660,290,25,6,13,14,14,750,360,320,340,330,720,580,590,670,9
test67,pass67,NH,Ashley Ridge High School,Summerville,SC,2.96,2024,Music,Biological and Physical Sciences,590,580,6,24,19,35,21,690,760,320,580,410,420,260,240,700,4
test68,pass68,SD,Ashley Ridge High School,Summerville,SC,0.76,2028,Psychology,Religion/Religious Studies,200,590,2,32,25,14,18,410,580,560,650,800,420,650,740,470,5
test69,pass69,NJ,Ashley Ridge High School,Summerville,SC,3.32,2028,Drama and Dramatics/Theatre Arts,Sustainability Studies,540,370,5,26,7,27,16,240,340,670,690,640,620,350,510,790,6
test70,pass70,CO,Ashley Ridge High School,Summerville,SC,0.78,2026,Health Services/Allied Health/Health Sciences,Biochemistry,480,790,13,33,28,9,21,480,680,360,260,680,770,730,380,320,3
test71,pass71,AL,Baccalaureate School for Global Education,Long Island City,NY,2.79,2028,Mathematics,History,520,470,11,24,33,29,24,310,540,230,710,790,610,300,300,440,8
test72,pass72,TX,Baccalaureate School for Global Education,Long Island City,NY,3.89,2022,Clinical Laboratory Science/Medical Technology/Technologist,Philosophy,280,340,4,21,19,19,16,370,380,480,210,620,520,710,660,600,5
test73,pass73,NC,Baccalaureate School for Global Education,Long Island City,NY,3.15,2021,German Language and Literature,Painting,450,390,20,13,15,3,13,200,540,360,310,460,440,480,270,240,6
test74,pass74,MD,Baccalaureate School for Global Education,Long Island City,NY,1.46,2025,Sculpture,Information Science/Studies,540,630,26,18,5,27,19,780,570,760,360,560,220,320,620,720,9
test75,pass75,WY,Baccalaureate School for Global Education,Long Island City,NY,0.34,2024,Graphic Communications,French Language and Literature,630,710,21,30,1,34,22,780,520,390,740,290,510,470,230,780,5
test76,pass76,OR,Baccalaureate School for Global Education,Long Island City,NY,0.83,2024,Women&apos;s Studies,Social Work,690,220,20,29,21,31,25,480,620,700,280,550,330,370,280,310,1
test77,pass77,OR,Baccalaureate School for Global Education,Long Island City,NY,3.12,2023,Applied Mathematics,Physics,710,390,12,10,24,18,16,280,400,280,660,520,640,770,420,410,6
test78,pass78,NY,Baccalaureate School for Global Education,Long Island City,NY,1.03,2028,Spanish Language and Literature,Athletic Training/Trainer,500,260,34,2,28,35,25,400,390,690,540,690,580,410,370,620,6
test79,pass79,AK,Baccalaureate School for Global Education,Long Island City,NY,2.64,2025,Linguistics,Printmaking,270,630,10,6,24,19,15,230,750,610,700,600,450,590,690,260,9
test80,pass80,ND,Baccalaureate School for Global Education,Long Island City,NY,0.46,2028,Linguistics,Multi-/Interdisciplinary Studies,270,530,13,29,7,32,20,600,680,420,650,430,560,660,540,390,10
test81,pass81,WV,Bard High School Early College,New York,NY,3.08,2028,Chemical and Biomolecular Engineering,Sculpture,740,260,28,24,8,36,24,350,600,590,760,450,450,460,680,280,3
test82,pass82,VA,Bard High School Early College,New York,NY,1.41,2028,Drawing,Design and Applied Arts,480,470,16,28,36,12,23,400,800,690,320,410,220,660,250,750,1
test83,pass83,CA,Bard High School Early College,New York,NY,0.77,2028,Cinematography and Film/Video Production,Art Teacher Education,330,710,27,10,26,16,20,420,540,250,420,740,610,630,780,710,2
test84,pass84,SD,Bard High School Early College,New York,NY,2.56,2025,History,Registered Nursing/Registered Nurse,600,710,25,12,13,9,15,530,450,610,770,380,510,320,670,590,9
test85,pass85,MS,Bard High School Early College,New York,NY,0.67,2024,Women&apos;s Studies,Social Work,670,520,20,25,33,9,22,570,660,360,230,200,310,280,350,780,6
test86,pass86,SC,Bard High School Early College,New York,NY,3.44,2026,Health Services/Allied Health/Health Sciences,German Language and Literature,730,610,19,25,27,16,22,640,290,270,600,360,530,630,580,210,9
test87,pass87,VT,Bard High School Early College,New York,NY,1,2024,Social Work,Information Science/Studies,530,250,26,31,27,30,28,610,230,640,590,780,420,290,370,610,1
test88,pass88,LA,Bard High School Early College,New York,NY,1.98,2028,Anthropology,Comparative Literature,300,710,34,27,4,4,17,660,730,710,240,260,560,720,500,690,1
test89,pass89,LA,Bard High School Early College,New York,NY,0.34,2028,Environmental Studies,Human Computer Interaction,530,490,23,26,14,19,20,380,730,740,540,440,320,680,250,730,10
test90,pass90,AK,Bard High School Early College,New York,NY,2.84,2026,Ceramic Arts and Ceramics,Political Science and Government,550,450,15,33,32,12,23,450,500,560,200,360,260,500,290,210,9
test91,pass91,VT,BASIS Flagstaff,Flagstaff,AZ,3.01,2027,Graphic Design,Graphic Design,540,690,36,3,18,13,18,450,400,300,590,520,750,530,580,410,7
test92,pass92,TX,BASIS Flagstaff,Flagstaff,AZ,0.07,2027,Political Science and Government,Environmental Design/Architecture,720,240,20,3,25,19,17,290,490,320,330,650,530,260,720,570,10
test93,pass93,SC,BASIS Flagstaff,Flagstaff,AZ,2.83,2022,Cinematography and Film/Video Production,Physical Sciences,250,270,25,4,18,17,16,690,300,700,220,610,620,560,800,570,0
test94,pass94,NC,BASIS Flagstaff,Flagstaff,AZ,3.66,2021,Computer and Information Sciences,Fashion/Apparel Design,500,770,31,32,1,29,23,520,800,500,420,250,210,230,740,200,6
test95,pass95,WV,BASIS Flagstaff,Flagstaff,AZ,1.7,2028,Music,Intermedia/Multimedia,720,740,7,13,16,1,9,630,580,430,300,750,450,500,290,800,1
test96,pass96,NH,BASIS Flagstaff,Flagstaff,AZ,3.66,2022,European Studies/Civilization,English Language and Literature,570,480,5,36,7,20,17,520,510,270,690,780,800,300,270,760,3
test97,pass97,MD,BASIS Flagstaff,Flagstaff,AZ,2.57,2024,Architecture and Related Services,American/United States Studies/Civilization,590,770,15,1,35,5,14,750,460,700,720,290,410,560,600,630,3
test98,pass98,IL,BASIS Flagstaff,Flagstaff,AZ,2.49,2020,Printmaking,Graphic Communications,690,540,29,13,20,32,24,360,690,340,290,360,520,490,740,460,4
test99,pass99,ND,BASIS Flagstaff,Flagstaff,AZ,3.03,2022,Graphic Design,Health Services/Allied Health/Health Sciences,530,500,4,32,31,4,18,630,420,600,420,520,570,650,460,240,4
test100,pass100,TX,BASIS Flagstaff,Flagstaff,AZ,3.82,2028,Religion/Religious Studies,Mechanical Engineering,330,320,23,25,19,35,26,550,720,380,510,560,400,320,400,670,8
test101,pass101,IN,BASIS Tucson North,Tucson,AZ,3.05,2021,Creative Writing,Multi-/Interdisciplinary Studies,320,480,5,16,28,12,15,590,210,310,440,700,490,780,750,430,6
test102,pass102,LA,BASIS Tucson North,Tucson,AZ,3.23,2024,Polysomnography,Health Services/Allied Health/Health Sciences,270,370,21,21,33,20,24,200,300,410,720,650,720,230,630,710,9
test103,pass103,CT,BASIS Tucson North,Tucson,AZ,2.64,2023,Computer Graphics,Photography,420,480,18,11,32,17,20,570,600,470,240,590,350,580,400,600,1
test104,pass104,ID,BASIS Tucson North,Tucson,AZ,0.87,2024,Sustainability Studies,Music,450,490,15,21,14,35,21,550,510,670,660,450,290,220,540,420,2
test105,pass105,OR,BASIS Tucson North,Tucson,AZ,2.33,2022,Business Administration and Management,Multi-/Interdisciplinary Studies,430,680,36,11,7,33,22,600,510,600,750,360,760,790,230,280,4
test106,pass106,IN,BASIS Tucson North,Tucson,AZ,0.43,2020,Physics,Metal and Jewelry Arts,730,570,28,2,31,13,18,700,260,490,690,660,650,310,340,450,8
test107,pass107,MN,BASIS Tucson North,Tucson,AZ,0.66,2020,German Language and Literature,Design and Applied Arts,690,450,29,18,32,6,21,650,200,280,500,470,780,330,250,550,10
test108,pass108,AZ,BASIS Tucson North,Tucson,AZ,0.2,2020,Visual and Performing Arts,Electrical and Electronics Engineering,450,730,15,4,11,25,14,570,320,270,360,710,630,580,450,530,0
test109,pass109,VT,BASIS Tucson North,Tucson,AZ,2.75,2020,Philosophy,Computer Graphics,290,470,22,9,28,21,20,380,410,590,340,460,800,570,490,590,9
test110,pass110,MD,BASIS Tucson North,Tucson,AZ,2.7,2020,Interior Architecture,Music,400,420,29,25,19,16,22,580,550,620,380,560,500,240,280,450,0
test111,pass111,MA,Bayless Senior High School,St Louis,MO,1.12,2021,Interior Architecture,Fashion/Apparel Design,360,470,2,1,7,12,6,390,200,340,710,410,700,420,650,420,8
test112,pass112,OH,Bayless Senior High School,St Louis,MO,2.13,2024,Athletic Training/Trainer,Information Science/Studies,510,440,18,20,21,6,16,230,670,750,680,790,410,510,750,790,1
test113,pass113,TN,Bayless Senior High School,St Louis,MO,2.49,2027,Physics,Sculpture,450,330,5,31,21,19,19,610,780,780,750,580,620,760,320,320,8
test114,pass114,NY,Bayless Senior High School,St Louis,MO,3.52,2025,American/United States Studies/Civilization,Fashion/Apparel Design,650,730,36,9,7,29,20,530,520,230,780,280,230,390,530,750,7
test115,pass115,ID,Bayless Senior High School,St Louis,MO,2.92,2023,German Language and Literature,Biochemistry,360,600,7,35,35,34,28,480,490,490,780,750,620,510,710,250,9
test116,pass116,MD,Bayless Senior High School,St Louis,MO,0.15,2020,Painting,Electrical and Electronics Engineering,780,450,6,36,26,3,18,310,260,480,770,690,380,370,480,610,5
test117,pass117,IA,Bayless Senior High School,St Louis,MO,2.19,2021,Art Teacher Education,European Studies/Civilization,320,730,10,2,21,16,12,590,230,250,740,260,740,280,360,710,4
test118,pass118,WI,Bayless Senior High School,St Louis,MO,1.8,2022,Human Computer Interaction,Economics,760,470,1,11,21,4,9,650,800,670,210,390,730,710,680,800,7
test119,pass119,ID,Bayless Senior High School,St Louis,MO,0.95,2022,Information Science/Studies,Athletic Training/Trainer,680,390,31,10,27,29,24,740,410,420,640,300,520,370,440,770,4
test120,pass120,FL,Bayless Senior High School,St Louis,MO,3.49,2022,Computer Graphics,Journalism,340,540,9,11,11,33,16,770,700,650,300,710,800,460,680,340,8
test121,pass121,AR,Bellevue High School,Bellevue,WA,1.3,2028,Drawing,Interior Architecture,300,730,8,6,24,6,11,470,550,330,590,660,450,580,720,540,8
test122,pass122,OH,Bellevue High School,Bellevue,WA,3.7,2027,Drawing,Political Science and Government,520,740,6,29,11,31,19,500,790,650,390,690,430,340,630,630,1
test123,pass123,AR,Bellevue High School,Bellevue,WA,2.97,2020,Electrical and Electronics Engineering,European Studies/Civilization,480,450,17,16,34,21,22,770,750,370,470,570,280,510,450,250,4
test124,pass124,AL,Bellevue High School,Bellevue,WA,1.05,2027,Environmental Design/Architecture,Physics,200,530,36,22,36,10,26,480,760,500,780,590,400,330,230,730,3
test125,pass125,AZ,Bellevue High School,Bellevue,WA,3.4,2022,Political Science and Government,Biology/Biological Sciences,390,730,30,19,12,36,24,500,370,340,730,450,230,210,740,360,1
test126,pass126,AL,Bellevue High School,Bellevue,WA,0.31,2023,Bioengineering and Biomedical Engineering,Drama and Dramatics/Theatre Arts,420,330,32,16,1,33,20,350,560,740,770,560,550,740,310,360,2
test127,pass127,KS,Bellevue High School,Bellevue,WA,0.15,2021,Computer and Information Sciences,Registered Nursing/Registered Nurse,700,200,3,11,10,5,7,690,350,770,470,780,450,660,620,790,0
test128,pass128,MT,Bellevue High School,Bellevue,WA,1.19,2020,Environmental Studies,Drama and Dramatics/Theatre Arts,720,680,27,9,6,24,16,220,580,470,270,550,340,670,410,730,10
test129,pass129,WY,Bellevue High School,Bellevue,WA,2.96,2026,Architecture and Related Services,Art/Art Studies,720,710,8,10,11,10,10,220,260,270,700,370,530,530,320,540,3
test130,pass130,MD,Bellevue High School,Bellevue,WA,3.61,2023,Illustration,Business Administration and Management,260,460,33,2,31,4,18,710,780,660,230,250,650,710,790,350,5
test131,pass131,SD,Blair High School,Pasadena,CA,0.5,2023,Women&apos;s Studies,Ecology,610,300,25,22,2,33,20,220,640,360,460,220,770,790,480,660,9
test132,pass132,WI,Blair High School,Pasadena,CA,1.22,2024,Art Teacher Education,Architecture and Related Services,430,500,19,34,8,9,18,280,700,300,470,430,610,350,670,270,3
test133,pass133,GA,Blair High School,Pasadena,CA,0.73,2026,Art/Art Studies,Comparative Literature,800,300,29,1,15,22,17,420,450,450,490,660,250,580,240,230,9
test134,pass134,NM,Blair High School,Pasadena,CA,2.52,2020,Printmaking,Painting,290,630,10,9,23,21,16,540,640,280,600,330,460,630,630,510,4
test135,pass135,IL,Blair High School,Pasadena,CA,1.65,2028,Civil Engineering,Computer and Information Sciences,700,310,11,25,2,25,16,570,580,540,400,700,600,450,250,540,7
test136,pass136,VA,Blair High School,Pasadena,CA,2.28,2023,Atmospheric Sciences and Meteorology,Biological and Physical Sciences,700,710,21,23,24,17,21,400,760,550,740,310,670,620,430,260,3
test137,pass137,AK,Blair High School,Pasadena,CA,3.61,2023,Italian Language and Literature,Film/Cinema/Video Studies,580,600,18,14,4,18,14,440,760,460,800,220,400,300,670,530,9
test138,pass138,NC,Blair High School,Pasadena,CA,2.37,2025,Linguistics,Environmental Design/Architecture,440,490,2,24,24,11,15,300,350,640,720,670,460,790,630,200,7
test139,pass139,MO,Blair High School,Pasadena,CA,2.5,2024,Painting,Biological and Physical Sciences,320,570,28,28,27,9,23,610,440,600,800,320,480,410,600,330,9
test140,pass140,CO,Blair High School,Pasadena,CA,3.26,2024,Art/Art Studies,Creative Writing,300,760,35,2,30,19,22,560,390,390,650,740,200,740,670,470,2
test141,pass141,ND,Blue Valley North High School,Overland Park,KS,3.81,2025,Drama and Dramatics/Theatre Arts,Fine/Studio Arts,740,440,15,17,7,3,10,470,710,550,580,580,440,360,670,720,6
test142,pass142,IN,Blue Valley North High School,Overland Park,KS,3.42,2022,Interior Architecture,Environmental Design/Architecture,790,490,26,12,6,20,16,540,750,390,470,670,340,310,440,260,10
test143,pass143,MA,Blue Valley North High School,Overland Park,KS,0.24,2021,Graphic Communications,Psychology,570,760,28,34,29,35,32,680,360,700,670,630,740,410,250,370,7
test144,pass144,NE,Blue Valley North High School,Overland Park,KS,3.38,2026,Multi-/Interdisciplinary Studies,Civil Engineering,620,440,1,4,35,17,14,420,240,340,520,340,200,510,360,280,2
test145,pass145,KS,Blue Valley North High School,Overland Park,KS,0.17,2022,Multi-/Interdisciplinary Studies,Italian Language and Literature,680,340,6,2,12,25,11,740,780,440,600,640,680,730,330,720,2
test146,pass146,MN,Blue Valley North High School,Overland Park,KS,2.57,2021,Cinematography and Film/Video Production,Psychology,480,650,13,22,12,21,17,430,730,490,290,720,540,350,210,780,10
test147,pass147,CA,Blue Valley North High School,Overland Park,KS,0.4,2023,Political Science and Government,History,620,240,18,35,11,5,17,390,650,240,270,660,800,220,450,590,2
test148,pass148,WI,Blue Valley North High School,Overland Park,KS,2.75,2026,Drawing,German Language and Literature,460,560,6,36,27,18,22,250,780,270,210,770,340,660,260,780,4
test149,pass149,OR,Blue Valley North High School,Overland Park,KS,3.48,2020,Geology/Earth Science,Physics,480,520,20,30,19,17,22,690,250,700,510,520,600,560,780,330,6
test150,pass150,IL,Blue Valley North High School,Overland Park,KS,0.24,2028,Sociology,English Language and Literature,220,520,2,6,12,22,10,350,420,560,500,340,240,730,740,750,6
test151,pass151,KY,Brighton High School,Rochester,NY,1.29,2025,Information Science/Studies,American/United States Studies/Civilization,390,640,35,25,10,26,24,790,450,360,550,660,270,530,740,500,6
test152,pass152,WI,Brighton High School,Rochester,NY,3.4,2021,Human Computer Interaction,Printmaking,450,310,1,31,7,26,16,270,790,290,410,400,400,400,320,790,10
test153,pass153,NC,Brighton High School,Rochester,NY,3.53,2028,Respiratory Care Therapy/Therapist,Mathematics,490,240,22,22,11,6,15,520,650,360,360,210,260,620,580,590,4
